Name,Job,House,Wand,Patronus,Species,Blood status,Loyalty,Skills
Harry James Potter,Student,Gryffindor,"11""  Holly  phoenix feather",Stag,Human,Half-blood,Dumbledore | DA | Order of the Phoenix | Hogwarts,Parseltongue| Defence Against the Dark Arts | Seeker
Ronald Bilius Weasley,Student,Gryffindor,"12"" Ash unicorn tail hair ",Jack Russell terrier,Human,Pure-blood,DA | Order of the Phoenix | Hogwarts,Wizard chess | Quidditch goalkeeping
Hermione Jean Granger,Student,Gryffindor,"10¾""  vine wood dragon heartstring",Otter,Human,Muggle-born,DA | Order of the Phoenix | Hogwarts,Almost everything
Albus Percival Wulfric Brian Dumbledore,Headmaster,Gryffindor,"15"" Elder Thestral tail hair core",Phoenix,Human,Half-blood,DA | Order of the Phoenix | Hogwarts,Considered by many to be one of the most powerful wizards of his time
Rubeus Hagrid,Keeper of Keys and Grounds | Professor of Care of Magical Creatures,Gryffindor,"16""  Oak unknown core",None,Half-Human/Half-Giant,Part-Human (Half-giant),Dumbledore | Order of the Phoenix | Hogwarts,Resistant to stunning spells| above average strength | crossbowmanship
Neville Longbottom,Student,Gryffindor,"13"" Cherry unicorn hair",Non-corporeal,Human,Pure-blood,DA | Order of the Phoenix | Hogwarts,Herbology
Fred Weasley,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,DA | Order of the Phoenix | Hogwarts,Beater
George Weasley,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,DA | Order of the Phoenix | Hogwarts,Beater
Ginevra (Ginny) Molly Weasley,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,DA | Order of the Phoenix | Hogwarts,Chaser| Bat-Bogey hex
Dean Thomas,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,DA | Hogwarts,Chaser
Seamus Finnigan,Student,Gryffindor,Unknown,Fox,Human,Half-blood,DA | Hogwarts,Pyrotechnics
Lily J. Potter,-,Gryffindor,"10¼""  Willow  unknown core",Doe,Human,Muggle-born,Order of the Phoenix,-
James Potter,-,Gryffindor,"11""  Mahogany  unknown core",Stag,Human,Pure-blood,Order of the Phoenix,Animagus| Seeker
Sirius Black,-,Gryffindor,Unknown,Unknown,Human,Pure-blood,Order of the Phoenix,Animagus| nonverbal magic| Charms
